report_id,report_period,in_formal_sample,guidance_attention_exchange_rate,macro_attention_exchange_rate,guidance_attention_financial_stability,macro_attention_financial_stability,guidance_attention_growth,macro_attention_growth,guidance_attention_inflation,macro_attention_inflation,guidance_attention_real_estate,macro_attention_real_estate,guidance_attention_risk,macro_attention_risk
2006Q1,2006Q1,True,6.792058516196446,0.9064813415923856,1.0449320794148382,0.07554011179936546,7.836990595611285,13.748300347484514,0.0,1.5108022359873092,1.567398119122257,6.269829279347333,4.179728317659353,2.1151231303822327
2006Q2,2006Q2,True,13.70757180156658,5.100781571369807,0.0,0.24681201151789386,28.720626631853786,18.51090086384204,0.0,2.385849444672974,0.6527415143603134,2.0567667626491155,1.3054830287206267,1.7276840806252571
2006Q3,2006Q3,True,0.0,0.4981568197668626,0.0,0.0,23.227383863080686,24.708578260436386,0.0,1.5941018232539603,1.2224938875305624,3.0885722825545483,2.444987775061125,1.5941018232539603
2006Q4,2006Q4,True,18.224573780129337,0.6094773731525217,0.5878894767783657,0.30473868657626085,12.345679012345679,15.084564985524912,0.0,1.1427700746609781,0.5878894767783657,3.123571537406674,1.763668430335097,1.9046167911016305
2007Q1,2007Q1,True,10.731707317073171,3.5964588712652157,0.0,0.09221689413500554,38.048780487804876,22.869789745481373,0.0,1.2910365178900773,0.0,1.198819623755072,0.0,1.4754703061600887
2007Q2,2007Q2,True,13.059701492537313,0.7983162783946586,3.7313432835820897,0.3628710356339357,21.455223880597014,15.095435082371726,2.798507462686567,6.676827055664417,0.9328358208955224,3.2658393207054215,0.9328358208955224,2.3949488351839756
2007Q3,2007Q3,True,10.989010989010989,1.5386436264646703,2.997002997002997,0.2958930050893597,24.975024975024976,14.676293052432241,1.998001998001998,8.285004142502071,0.999000999000999,4.142502071251036,0.999000999000999,3.3731802580187007
2007Q4,2007Q4,True,10.213143872113678,0.5485965072689036,0.0,0.0,13.321492007104794,17.280789978970468,1.3321492007104796,2.925848038767487,2.664298401420959,3.748742799670842,3.996447602131439,1.828655024229679
2008Q1,2008Q1,True,11.04502973661852,0.400600901352028,0.8496176720475787,0.0,18.69158878504673,17.82674011016525,5.9473237043330505,7.811717576364546,1.6992353440951573,1.9028542814221332,0.8496176720475787,1.802704056084126
2008Q2,2008Q2,True,4.908835904628331,1.1651616661811826,1.402524544179523,0.07282260413632391,17.53155680224404,14.855811243810079,3.506311360448808,5.752985726769589,0.7012622720897616,3.277017186134576,0.7012622720897616,2.03903291581707
